breedID,breedInfo,breedPlant,plantImprovedNum1,plantImprovedNum2,equipID1,equipID2
1700001,"개량도가 0, 0인 두리안 나무끼리의 교배","1220001",0,0,1010001,1010001
1710001,"개량도가 1, 0인 두리안 나무끼리의 교배","1220001",1,0,1011001,1010001
1720001,"개량도가 2, 0인 두리안 나무끼리의 교배","1220001",2,0,1011001,1011001
1730001,"개량도가 3, 0인 두리안 나무끼리의 교배","1220001",3,0,1012001,1011001
1740001,"개량도가 4, 0인 두리안 나무끼리의 교배","1220001",4,0,1013001,1011001
1750001,"개량도가 5, 0인 두리안 나무끼리의 교배",1220001,5,0,1014001,1011001
1760001,"개량도가 6, 0인 두리안 나무끼리의 교배",1220001,6,0,1015001,1011001
1770001,"개량도가 7, 0인 두리안 나무끼리의 교배",1220001,7,0,1016001,1011001
1780001,"개량도가 8, 0인 두리안 나무끼리의 교배",1220001,8,0,1017001,1011001
1790001,"개량도가 9, 0인 두리안 나무끼리의 교배",1220001,9,0,1018001,1011001
1711001,"개량도가 1, 1인 두리안 나무끼리의 교배",1220001,1,1,1011001,1011001
1721001,"개량도가 2, 1인 두리안 나무끼리의 교배",1220001,2,1,1012001,1011001
1731001,"개량도가 3, 1인 두리안 나무끼리의 교배",1220001,3,1,1012001,1012001
1741001,"개량도가 4, 1인 두리안 나무끼리의 교배",1220001,4,1,1013001,1012001
1751001,"개량도가 5, 1인 두리안 나무끼리의 교배",1220001,5,1,1014001,1012001
1761001,"개량도가 6, 1인 두리안 나무끼리의 교배",1220001,6,1,1015001,1012001
1771001,"개량도가 7, 1인 두리안 나무끼리의 교배",1220001,7,1,1016001,1012001
1781001,"개량도가 8, 1인 두리안 나무끼리의 교배",1220001,8,1,1017001,1012001
1791001,"개량도가 9, 1인 두리안 나무끼리의 교배",1220001,9,1,1018001,1012001
1722001,"개량도가 2, 2인 두리안 나무끼리의 교배",1220001,2,2,1012001,1012001
1732001,"개량도가 3, 2인 두리안 나무끼리의 교배",1220001,3,2,1013001,1012001
1742001,"개량도가 4, 2인 두리안 나무끼리의 교배",1220001,4,2,1013001,1013001
1752001,"개량도가 5, 2인 두리안 나무끼리의 교배",1220001,5,2,1014001,1013001
1762001,"개량도가 6, 2인 두리안 나무끼리의 교배",1220001,6,2,1015001,1013001
1772001,"개량도가 7, 2인 두리안 나무끼리의 교배",1220001,7,2,1016001,1013001
1782001,"개량도가 8, 2인 두리안 나무끼리의 교배",1220001,8,2,1017001,1013001
1792001,"개량도가 9, 2인 두리안 나무끼리의 교배",1220001,9,2,1018001,1013001
1733001,"개량도가 3, 3인 두리안 나무끼리의 교배",1220001,3,3,1013001,1013001
1743001,"개량도가 4, 3인 두리안 나무끼리의 교배",1220001,4,3,1014001,1013001
1753001,"개량도가 5, 3인 두리안 나무끼리의 교배",1220001,5,3,1014001,1014001
1763001,"개량도가 6, 3인 두리안 나무끼리의 교배",1220001,6,3,1015001,1014001
1773001,"개량도가 7, 3인 두리안 나무끼리의 교배",1220001,7,3,1016001,1014001
1783001,"개량도가 8, 3인 두리안 나무끼리의 교배",1220001,8,3,1017001,1014001
1793001,"개량도가 9, 3인 두리안 나무끼리의 교배",1220001,9,3,1018001,1014001
1744001,"개량도가 4, 4인 두리안 나무끼리의 교배",1220001,4,4,1014001,1014001
1754001,"개량도가 5, 4인 두리안 나무끼리의 교배",1220001,5,4,1015001,1014001
1764001,"개량도가 6, 4인 두리안 나무끼리의 교배",1220001,6,4,1015001,1015001
1774001,"개량도가 7, 4인 두리안 나무끼리의 교배",1220001,7,4,1016001,1015001
1784001,"개량도가 8, 4인 두리안 나무끼리의 교배",1220001,8,4,1017001,1015001
1794001,"개량도가 9, 4인 두리안 나무끼리의 교배",1220001,9,4,1018001,1015001
1755001,"개량도가 5, 5인 두리안 나무끼리의 교배",1220001,5,5,1015001,1015001
1765001,"개량도가 6, 5인 두리안 나무끼리의 교배",1220001,6,5,1016001,1015001
1775001,"개량도가 7, 5인 두리안 나무끼리의 교배",1220001,7,5,1016001,1016001
1785001,"개량도가 8, 5인 두리안 나무끼리의 교배",1220001,8,5,1017001,1016001
1795001,"개량도가 9, 5인 두리안 나무끼리의 교배",1220001,9,5,1018001,1016001
1766001,"개량도가 6, 6인 두리안 나무끼리의 교배",1220001,6,6,1016001,1016001
1776001,"개량도가 7, 6인 두리안 나무끼리의 교배",1220001,7,6,1017001,1016001
1786001,"개량도가 8, 6인 두리안 나무끼리의 교배",1220001,8,6,1017001,1017001
1796001,"개량도가 9, 6인 두리안 나무끼리의 교배",1220001,9,6,1018001,1017001
1777001,"개량도가 7, 7인 두리안 나무끼리의 교배",1220001,7,7,1017001,1017001
1787001,"개량도가 8, 7인 두리안 나무끼리의 교배",1220001,8,7,1018001,1017001
1797001,"개량도가 9, 7인 두리안 나무끼리의 교배",1220001,9,7,1018001,1018001
1788001,"개량도가 8, 8인 두리안 나무끼리의 교배",1220001,8,8,1018001,1018001
1798001,"개량도가 9, 8인 두리안 나무끼리의 교배",1220001,9,8,1018001,1018001
1799001,"개량도가 9, 9인 두리안 나무끼리의 교배",1220001,9,9,1019001,1019001
1700002,"개량도가 0, 0인 페퍼 나무끼리의 교배",1221002,0,0,1010002,1010002
1710002,"개량도가 1, 0인 페퍼 나무끼리의 교배",1221002,1,0,1011002,1010002
